	A	B	C
320.0	3.405990629617684e+37	3.405990629617683e+37	3.9020191502346286e+37
321.0	3.8607501670364054e+37	3.8607501670364045e+37	4.748851871959264e+37
322.0	3.291117574005726e+37	3.2911175740057243e+37	4.199455979652427e+37
323.0	2.9821292183589e+37	2.982129218358899e+37	4.279834944675852e+37
324.0	3.582431953221895e+37	3.5824319532218937e+37	4.731649884805252e+37
325.0	3.535340128959978e+37	3.535340128959977e+37	4.599750310717063e+37
326.0	3.633626108177286e+37	3.633626108177285e+37	4.765549572019247e+37
327.0	3.7991551363443755e+37	3.799155136344373e+37	5.139026752300462e+37
328.0	3.5327412439068577e+37	3.532741243906857e+37	4.6423138317576575e+37
329.0	3.9546786834130714e+37	3.954678683413069e+37	5.176389504330153e+37
330.0	3.538140374038448e+37	3.538140374038446e+37	4.689824524369906e+37
331.0	3.656820432231237e+37	3.656820432231236e+37	5.090460049400089e+37
332.0	3.6177832138181417e+37	3.6177832138181394e+37	4.859776518871752e+37
333.0	3.848974006560418e+37	3.8489740065604166e+37	5.140585608081968e+37
334.0	3.6928883118687137e+37	3.692888311868712e+37	4.963742766392704e+37
335.0	3.825641788770625e+37	3.8256417887706236e+37	5.271784362943753e+37
336.0	3.6253301206497633e+37	3.625330120649761e+37	4.808372758724247e+37
337.0	3.661441306055175e+37	3.6614413060551736e+37	4.937410423231645e+37
338.0	3.7977402229811467e+37	3.797740222981145e+37	4.981827307460484e+37
339.0	3.8162179867922225e+37	3.816217986792221e+37	5.143530328138548e+37
340.0	3.8378104972104745e+37	3.837810497210472e+37	4.980125174456543e+37
341.0	3.5301422002732525e+37	3.5301422002732506e+37	4.673277428298669e+37
342.0	3.7508175850973214e+37	3.75081758509732e+37	4.786620264039011e+37
343.0	3.481712819701859e+37	3.481712819701857e+37	4.610214157281839e+37
344.0	3.3899502766377366e+37	3.3899502766377357e+37	4.385678748609814e+37
345.0	3.6046302601148658e+37	3.6046302601148643e+37	4.386800203715068e+37
346.0	3.521909293412673e+37	3.5219092934126716e+37	4.270966802167818e+37
347.0	3.4032343515978534e+37	3.4032343515978515e+37	4.074850844647561e+37
348.0	3.288825078345749e+37	3.2888250783457474e+37	3.847430410356177e+37
349.0	3.5709106997290893e+37	3.570910699729087e+37	3.9440046736264693e+37
350.0	3.6455961974511006e+37	3.6455961974510983e+37	3.942311563114319e+37
351.0	3.439851470680347e+37	3.439851470680346e+37	3.6160928098801554e+37
352.0	3.5813453731555014e+37	3.5813453731555005e+37	3.5786124059714603e+37
353.0	3.6734641648468973e+37	3.673464164846895e+37	3.636408384672017e+37
354.0	2.7773033994626327e+37	2.777303399462631e+37	2.611520192697092e+37
355.0	3.2123865602952554e+37	3.2123865602952545e+37	2.970733032371291e+37
356.0	3.4725147241759633e+37	3.472514724175961e+37	3.0484291031959675e+37
357.0	2.8692166895789776e+37	2.869216689578977e+37	2.583173211507968e+37
358.0	2.900083227006615e+37	2.9000832270066135e+37	2.3926680348634855e+37
359.0	3.441141790087384e+37	3.441141790087382e+37	2.8162637974794937e+37
360.0	3.551107790484528e+37	3.551107790484526e+37	3.1320649268581294e+37
361.0	3.391179117105173e+37	3.3911791171051716e+37	2.5617256784225895e+37
362.0	2.61424646238161e+37	2.6142464623816087e+37	1.8507776145684917e+37
363.0	3.382261429639894e+37	3.3822614296398916e+37	2.4024101034655313e+37
364.0	2.9157443355018138e+37	2.915744335501813e+37	1.9767172981749225e+37
365.0	3.6861746082995e+37	3.686174608299498e+37	2.449722753617534e+37
366.0	3.4675301695013546e+37	3.467530169501352e+37	2.1825764620479228e+37
367.0	3.2460481503329533e+37	3.2460481503329523e+37	2.0029383843918878e+37
368.0	3.119711370338074e+37	3.119711370338072e+37	1.8982080308312492e+37
369.0	3.7619133105837567e+37	3.761913310583755e+37	2.3371110899994475e+37
370.0	3.4823436420692208e+37	3.4823436420692184e+37	2.0396919237407395e+37
371.0	3.572596505436021e+37	3.57259650543602e+37	2.1957075751133992e+37
372.0	3.3105153175349497e+37	3.3105153175349483e+37	2.033478349980165e+37
373.0	3.5102993328198e+37	3.5102993328197984e+37	2.1286307182685626e+37
374.0	3.312847403934296e+37	3.3128474039342946e+37	1.971807862590497e+37
375.0	3.049826075889366e+37	3.049826075889364e+37	1.7517750992088998e+37
376.0	2.901397808585573e+37	2.9013978085855722e+37	1.6118943074739258e+37
377.0	3.111860201465847e+37	3.111860201465845e+37	1.873895956161029e+37
378.0	0.0	0.0	0.0
379.0	0.0	0.0	0.0
380.0	0.0	0.0	0.0
381.0	0.0	0.0	0.0
382.0	0.0	0.0	0.0
383.0	0.0	0.0	0.0
384.0	0.0	0.0	0.0
385.0	0.0	0.0	0.0
386.0	0.0	0.0	0.0
387.0	0.0	0.0	0.0
388.0	0.0	0.0	0.0
389.0	0.0	0.0	0.0
390.0	0.0	0.0	0.0
391.0	0.0	0.0	0.0
392.0	0.0	0.0	0.0
393.0	0.0	0.0	0.0
