	0	1	2
335.0	1521500788343.051	2089921700502.0322	2159833664989.8914
336.0	1453546115203.3242	1882853553907.7275	1982501682502.12
337.0	1462070438685.1233	1945927415191.312	2029974582488.3896
338.0	1519587750606.8093	1957123233173.353	2052599898551.9932
339.0	1526955287735.3953	2027054897493.358	2116077208796.1743
340.0	1550384360805.1497	1940291756752.8625	2059785610701.548
341.0	1423639987255.1575	1838329690981.7996	1923634992240.635
342.0	1512846339788.6233	1882722873535.197	1969048452521.3584
343.0	1403572283129.7825	1813173033657.0203	1898838497082.6943
344.0	1367164338666.8318	1753867040893.6582	1790680837550.6284
345.0	1456606367207.1494	1738728381560.056	1799426180601.3567
346.0	1416997152150.3682	1685144535056.9805	1756387209444.082
347.0	1362367511874.1829	1627714860263.6235	1664854171684.9978
348.0	1330116463023.9395	1541662249842.579	1572129750906.1716
349.0	1454895351978.145	1566766501266.1118	1618897193662.5793
350.0	1486490772081.6416	1563164889534.8457	1621080480374.0776
351.0	1408300418169.9487	1431864028853.5923	1487562843976.995
352.0	1453465817477.9524	1421953824169.683	1470694677161.7417
353.0	1499496913117.0996	1457268220824.984	1489272627045.8162
354.0	1136077722627.4653	1049857242415.4921	1069455168212.0537
355.0	1305843309691.0671	1197737251420.953	1213171351624.6982
356.0	1433268728027.509	1206613143656.3542	1259711368499.5537
357.0	1196832394763.912	1045047242843.2871	1054228187106.2578
358.0	1183745888877.0237	961680725218.9811	980702622430.0355
359.0	1398425185839.7278	1140377766314.3867	1150027527994.7087
360.0	1469306240527.9268	1259054104992.9895	1283966163826.4558
361.0	1376850020317.5247	1066822967775.0149	1032620850608.3787
362.0	1051446536319.0209	794422619834.3552	734148276567.2704
363.0	1386628066060.8052	1012133893720.2579	962960348831.6224
364.0	1176208684525.4976	870076793762.5823	773546337200.5946
365.0	1498021270505.7695	1060367766358.7783	968376627652.5568
366.0	1405511489186.3303	963762632632.6978	853494535529.433
367.0	1324317781618.6567	868536331003.6763	792966802377.7732
368.0	1265884191323.2424	839520512918.7307	742765882668.5957
369.0	1539195004774.7651	1005198402402.2974	929284440482.07
370.0	1424564264800.7383	891124010134.8146	804642604294.7323
371.0	1459828220690.7986	949266191248.9958	870484047453.6747
372.0	1350336916079.2864	884134674184.5098	803565308971.6422
373.0	1438289420813.5513	911975913719.6855	848838499651.8223
374.0	1357409748717.5186	850912632407.3586	782724332155.23
375.0	1250438763399.8408	755587708859.0123	697061679353.0352
376.0	1186556874665.8962	708737216010.9735	634583218808.1663
377.0	1276932968223.8293	799561445650.0066	749215174849.412
378.0	1096630677232.0197	659041493803.2339	601206389404.1099
379.0	804904807593.1923	411604870939.2621	373822998168.7828
380.0	0.0	0.0	0.0
381.0	0.0	0.0	0.0
382.0	0.0	0.0	0.0
383.0	0.0	0.0	0.0
384.0	0.0	0.0	0.0
385.0	0.0	0.0	0.0
386.0	0.0	0.0	0.0
387.0	0.0	0.0	0.0
388.0	0.0	0.0	0.0
389.0	0.0	0.0	0.0
390.0	0.0	0.0	0.0
391.0	0.0	0.0	0.0
392.0	0.0	0.0	0.0
393.0	0.0	0.0	0.0
394.0	0.0	0.0	0.0
395.0	0.0	0.0	0.0
396.0	0.0	0.0	0.0
397.0	0.0	0.0	0.0
398.0	0.0	0.0	0.0
399.0	0.0	0.0	0.0
400.0	0.0	0.0	0.0
401.0	0.0	0.0	0.0
402.0	0.0	0.0	0.0
403.0	0.0	0.0	0.0
404.0	0.0	0.0	0.0
405.0	-1928380738604.5144	-1998937383297.3906	-1995299217502.3784
406.0	-2002984362793.2437	-2043108952148.1074	-2038286566783.072
407.0	-2079962964282.7224	-2136589443054.6143	-2110765701042.618
408.0	-2212224988560.3687	-2276247000022.236	-2256420785181.093
409.0	-2289497821810.047	-2320827648802.178	-2302434737327.028
410.0	-2360419892612.1885	-2402454220100.8496	-2370382158851.6147
411.0	-2462901591315.696	-2486296368487.3257	-2455452649389.822
412.0	-2513382063815.458	-2529609701353.49	-2506282492706.2134
413.0	-2551166682353.2837	-2573668420887.8965	-2539654516162.628
414.0	-2628859645230.2476	-2633626875979.39	-2600838563713.5503
415.0	-2630020480008.02	-2657211106415.3535	-2612306207837.225
416.0	-2731712862905.7007	-2749103430126.6206	-2705245865754.045
417.0	-2762352750935.226	-2760199066814.101	-2716363474318.5254
418.0	-2780949255571.4053	-2802045766406.838	-2766447680531.3657
419.0	-2879087400658.668	-2864522894924.807	-2818842079364.7427
420.0	-2954614365240.9644	-2934195682161.382	-2893362147526.222
421.0	-2952747349123.4985	-2947434577865.07	-2907419298498.1665
422.0	-2948846456687.514	-2937948039625.5396	-2900312792730.6235
423.0	-2997257716484.4795	-3006015886222.7495	-2969080773259.482
424.0	-2993268905878.5894	-3008141793844.2876	-2979066118514.6006
425.0	-3014355737624.5244	-3025951779424.4746	-2995182224648.23
426.0	-3060905121848.656	-3083636545117.962	-3057031787182.867
427.0	-3163899879977.622	-3195048353018.685	-3157126790787.476
428.0	-3112262975861.9663	-3145105472461.223	-3115960201082.8237
429.0	-3091547773594.757	-3129789895031.662	-3105190602833.4263
430.0	-3166612877486.9746	-3198977798577.3774	-3175186405850.1978
431.0	-3132174897209.7036	-3190823941825.029	-3153777913307.259
432.0	-3090779605281.0737	-3141994800340.8745	-3116754622000.501
433.0	-3133445994892.488	-3202714215460.8906	-3170790428328.466
434.0	-3133786535741.741	-3206902261888.3867	-3178204782825.4106
435.0	-3109266371564.447	-3213899739086.1455	-3182601408200.1143
436.0	-3071259827171.77	-3179418669685.493	-3151535297998.7095
437.0	-3091853146843.7183	-3194625967721.586	-3159784732064.5303
438.0	-3071894336614.7476	-3192773416537.44	-3163987222101.9062
439.0	-3052341330828.9146	-3178756434332.2314	-3136910084776.589
440.0	-3052420402180.1626	-3190249736757.8154	-3151276044965.316
441.0	-3039502875454.2207	-3175579179993.006	-3140527819489.1113
442.0	-2985058735197.944	-3138440705705.3594	-3094584171679.0977
443.0	-2954853430516.799	-3113170373051.4165	-3063740902315.1924
444.0	-2982249202782.29	-3139235589156.082	-3090226742130.2935
445.0	-2926253832341.2896	-3098464856078.013	-3047228052910.016
446.0	-2908297257414.0103	-3084718491094.9424	-3037068711082.662
447.0	-2875680802561.065	-3062469995566.5483	-3004413292149.041
448.0	-2861959591281.6743	-3053823964518.572	-3000355724879.132
449.0	-2785804640086.645	-2990126823575.355	-2925221186958.1143
450.0	-2803448525221.6934	-3005987485733.977	-2945441196072.9717
451.0	-2732529257330.9297	-2942352562204.17	-2874411537952.2827
452.0	-2676900097711.9834	-2895531629724.3447	-2831937660999.693
453.0	-2576216530490.1294	-2815120464882.0293	-2740383377425.032
454.0	-2605674951641.2544	-2841232281153.0825	-2768761914300.057
455.0	-2513353243512.367	-2757701610660.64	-2685368264274.9634
456.0	-2483661009995.287	-2727357873208.775	-2664197638127.2656
457.0	-2384057401149.906	-2633710196875.3877	-2561659753768.7344
458.0	-2394061219644.615	-2639357732685.2095	-2571768668174.3296
459.0	-2323746292364.533	-2573902615619.0957	-2499243365026.486
460.0	-2311466471935.418	-2548579907936.7236	-2471985964618.4946
461.0	-2218468181663.7285	-2463581097757.0625	-2387711102582.433
462.0	-2228313756532.249	-2466901592349.6787	-2387955801858.185
463.0	-2125057495445.7537	-2368089368125.0376	-2293686802443.108
464.0	-2124841476926.562	-2357713538722.231	-2291676630325.494
465.0	-2026608374750.5923	-2261066014014.091	-2181466725738.8506
466.0	-2007326772223.9827	-2235925114286.609	-2168089852958.112
467.0	-1977104459052.7927	-2191534227365.8665	-2116572254880.6672
468.0	-1926156186549.1475	-2144353219809.5024	-2074149692548.2612
469.0	-1826554035446.9558	-2054397850072.9158	-1973623026359.383
470.0	-1836012239556.9688	-2035895237235.8716	-1959558097738.347
471.0	-1736845822082.1074	-1929833129131.6843	-1852088113723.5127
472.0	-1685295741877.2375	-1866992418781.5217	-1789835622253.5535
473.0	-1617738065805.4175	-1797073765413.785	-1721754937188.016
474.0	-1577661163925.6877	-1752601796502.535	-1682889670333.1255
475.0	-1502985230927.8538	-1679548006172.1038	-1608582448507.6226
476.0	-1464896225458.3894	-1636270565921.6545	-1564315761462.606
477.0	-1406177715264.3367	-1572965119174.18	-1499011550762.456
478.0	-1335748486734.9417	-1493072519336.721	-1417496994780.5671
479.0	-1263367290082.8628	-1404040647389.0178	-1333494558832.4265
480.0	-1221970465417.566	-1353886363372.7317	-1286507817084.5994
