	A	B	C
320.0	691900655541.2993	691900655541.2983	791570404276.2004
321.0	784358331095.1603	784358331095.1592	963264123963.2018
322.0	668696816529.0264	668696816529.0255	851728209789.2123
323.0	605333691898.8866	605333691898.8857	868044994782.1743
324.0	727523133641.0216	727523133641.0205	959740836345.528
325.0	718102793271.0409	718102793271.0399	932953222025.8232
326.0	738039125220.811	738039125220.81	966568696755.1685
327.0	771574330281.4545	771574330281.4534	1042308551615.6199
328.0	717456670083.0653	717456670083.0642	941598481051.9865
329.0	803276418613.848	803276418613.8468	1049899770942.1508
330.0	718651253508.0492	718651253508.0482	951201702688.7738
331.0	742526682425.2107	742526682425.2096	1032456610320.9075
332.0	734756317346.0458	734756317346.0449	985663207821.4084
333.0	781715839898.7837	781715839898.7826	1042638623312.6278
334.0	750021386656.1252	750021386656.124	1006755876370.5343
335.0	776818571554.9143	776818571554.9131	1069239649152.792
336.0	736348437634.0538	736348437634.053	975249399659.6377
337.0	743597785649.9015	743597785649.9005	1001424837907.2416
338.0	771413721181.1796	771413721181.1786	1010430486610.6753
339.0	775031967161.5004	775031967161.4994	1043229693463.0776
340.0	779570429469.6724	779570429469.6715	1010107053614.8112
341.0	716981693862.5359	716981693862.5348	947862350144.4363
342.0	761916321606.9293	761916321606.9283	970869500925.222
343.0	707142372458.379	707142372458.378	935072369176.5034
344.0	688519331608.5997	688519331608.5986	889548896279.2739
345.0	732306309539.8983	732306309539.8975	889811985680.5692
346.0	715530380637.5321	715530380637.5311	866313311681.5438
347.0	691390424258.8353	691390424258.8345	826553054496.1998
348.0	668185503688.512	668185503688.5111	780444171854.5851
349.0	725651620642.1924	725651620642.1913	800064021021.446
350.0	740932098511.5767	740932098511.5757	799720260196.6001
351.0	699169484413.3173	699169484413.3163	733562390862.1162
352.0	728031801854.7902	728031801854.7892	725995003486.8324
353.0	746755553103.9893	746755553103.9884	737723924492.7731
354.0	564653611634.4742	564653611634.4735	529824133372.58264
355.0	653117525466.5869	653117525466.5859	602727958675.3553
356.0	706160203665.3793	706160203665.3783	618495583209.5183
357.0	583377130232.3782	583377130232.3773	524112405575.78955
358.0	589764651215.5258	589764651215.5248	485506896243.00604
359.0	699846003069.047	699846003069.046	571461288927.1958
360.0	722108247927.7649	722108247927.7638	635471391642.0653
361.0	689793195588.7955	689793195588.7946	519837455376.68207
362.0	531773738454.79517	531773738454.79425	375605171336.85455
363.0	688058647565.0468	688058647565.0457	487554560140.37396
364.0	593093560502.171	593093560502.1702	401210962170.0678
365.0	749938385937.7283	749938385937.7273	497196983264.1926
366.0	705531237557.4832	705531237557.482	442997011438.50903
367.0	660483179047.6644	660483179047.6633	406560120828.0483
368.0	634748050577.2877	634748050577.2867	385320495769.91864
369.0	765462312148.1497	765462312148.1486	474375094443.8127
370.0	708663645597.791	708663645597.7899	414032444359.26666
371.0	726961060954.323	726961060954.3219	445682738981.4572
372.0	673607859420.6473	673607859420.6462	412759590637.4963
373.0	714311867228.2463	714311867228.2452	432070272334.8443
374.0	674191213382.1554	674191213382.1543	400239296090.90515
375.0	620656693612.7965	620656693612.7955	355610815428.7783
376.0	590475743585.6691	590475743585.6682	327227628107.3684
377.0	633246918725.883	633246918725.8823	380374402263.7117
378.0	0.0	0.0	0.0
379.0	0.0	0.0	0.0
380.0	0.0	0.0	0.0
381.0	0.0	0.0	0.0
382.0	0.0	0.0	0.0
383.0	0.0	0.0	0.0
384.0	0.0	0.0	0.0
385.0	0.0	0.0	0.0
386.0	0.0	0.0	0.0
387.0	0.0	0.0	0.0
388.0	0.0	0.0	0.0
389.0	0.0	0.0	0.0
390.0	0.0	0.0	0.0
391.0	0.0	0.0	0.0
392.0	0.0	0.0	0.0
393.0	0.0	0.0	0.0
394.0	0.0	0.0	0.0
395.0	0.0	0.0	0.0
396.0	0.0	0.0	0.0
397.0	0.0	0.0	0.0
398.0	0.0	0.0	0.0
399.0	0.0	0.0	0.0
400.0	0.0	0.0	0.0
401.0	0.0	0.0	0.0
402.0	0.0	0.0	0.0
403.0	0.0	0.0	0.0
404.0	0.0	0.0	0.0
405.0	0.0	0.0	0.0
406.0	0.0	0.0	0.0
407.0	-1042143794580.3853	-1042143794580.3837	-1059447496930.4486
408.0	-1108466897680.6516	-1108466897680.6501	-1131133374440.6018
409.0	-1144757835531.9802	-1144757835531.9783	-1153768403403.6401
410.0	-1182193165521.2454	-1182193165521.2437	-1190235799292.0981
411.0	-1233084007936.7656	-1233084007936.764	-1232368934529.3564
412.0	-1258326814846.2004	-1258326814846.1987	-1256337310865.0535
413.0	-1280158903516.7434	-1280158903516.7412	-1274793870893.6304
414.0	-1317373366617.9507	-1317373366617.9487	-1305047182854.0881
415.0	-1320128146789.8132	-1320128146789.8115	-1313091020155.09
416.0	-1370405795193.5803	-1370405795193.5784	-1359141169712.2034
417.0	-1383795928718.4658	-1383795928718.4639	-1364723646163.9294
418.0	-1392936731892.2852	-1392936731892.2827	-1388371626457.0674
419.0	-1442337398317.1	-1442337398317.098	-1416171430058.834
420.0	-1480008760119.2483	-1480008760119.2458	-1452507440796.9814
421.0	-1480124601969.3523	-1480124601969.35	-1459504597187.2373
422.0	-1475826069194.3193	-1475826069194.3171	-1455549595775.4648
423.0	-1502157642798.494	-1502157642798.492	-1489828864148.0215
