	A	B	C
320.0	691975505536.7701	691975505536.7708	792732958186.3464
321.0	784364910030.3315	784364910030.3322	964776206996.1162
322.0	668637218784.7489	668637218784.7494	853161276898.8767
323.0	605865197815.6393	605865197815.6396	869491002660.5587
324.0	727822209730.0753	727822209730.0757	961281629486.2518
325.0	718253567427.321	718253567427.3214	934485061166.302
326.0	738223152661.0587	738223152661.0592	968168738373.6133
327.0	771850024507.4677	771850024507.4684	1044044806492.2173
328.0	717727421945.6165	717727421945.6172	943132039779.0731
329.0	803448339723.0797	803448339723.0801	1051635081441.7671
330.0	718823020668.5249	718823020668.5254	952784631238.4779
331.0	742935113008.756	742935113008.7565	1034177889759.7964
332.0	735003972890.444	735003972890.4445	987312075134.0491
333.0	781973623310.7129	781973623310.7131	1044361201758.0806
334.0	750262210092.773	750262210092.7736	1008433920030.0359
335.0	777234186866.4243	777234186866.4249	1071015589237.0902
336.0	736536603920.3999	736536603920.4003	976868901859.3956
337.0	743873903492.4833	743873903492.4838	1003084176298.8588
338.0	771563851863.0344	771563851863.0353	1012107895393.4852
339.0	775318857922.7106	775318857922.7113	1044959497987.3448
340.0	779704363918.7142	779704363918.7148	1011762038796.841
341.0	717197979793.8572	717197979793.8577	949422869071.4343
342.0	762030376013.4199	762030376013.4203	972449459660.1721
343.0	707359156886.2872	707359156886.2876	936610909414.8776
344.0	688715531347.5566	688715531347.5571	890994183500.2502
345.0	732329100324.6862	732329100324.6869	891221833974.1906
346.0	715523491983.4655	715523491983.4661	867689112595.9247
347.0	691413578913.0923	691413578913.0927	827846025695.6917
348.0	668169390405.2544	668169390405.2548	781643219127.2286
349.0	725477201226.0582	725477201226.0588	801263070309.7794
350.0	740649908558.8513	740649908558.8518	800919096603.4199
351.0	698849583785.7638	698849583785.7643	734644465089.9719
352.0	727595895638.5692	727595895638.5697	727029666403.7031
353.0	746309782225.8352	746309782225.8358	738771503494.6453
354.0	564243524902.0981	564243524902.0986	530555340942.2891
355.0	652634366907.8423	652634366907.8427	603532920933.0405
356.0	705483540103.016	705483540103.0165	619317322787.0566
357.0	582916044369.287	582916044369.2874	524796230367.58276
358.0	589186018729.772	589186018729.7725	486092978796.9247
359.0	699109076936.954	699109076936.9545	572150381412.7863
360.0	721449491315.0629	721449491315.0635	636308839241.0466
361.0	688958550221.8324	688958550221.8329	520438144043.69183
362.0	531114865019.23065	531114865019.2311	376002224963.56915
363.0	687144959624.0189	687144959624.0194	488071569337.7592
364.0	592366855198.7178	592366855198.7183	401587828784.69073
365.0	748888356761.8718	748888356761.8727	497683153320.4054
366.0	704467373224.3832	704467373224.3838	443409790027.6652
367.0	659470559637.2102	659470559637.2108	406914646212.0265
368.0	633804192479.3856	633804192479.3861	385637598262.6369
369.0	764274339266.8044	764274339266.805	474804844163.31116
370.0	707475930968.3611	707475930968.3617	414381291507.78754
371.0	725812136315.0646	725812136315.0652	446077456047.28107
372.0	672567684732.9567	672567684732.9572	413119097869.49506
373.0	713155471646.6653	713155471646.666	432450169165.3888
374.0	673040907560.4973	673040907560.4978	400590178823.3211
375.0	619604986209.6937	619604986209.6942	355888401004.16046
376.0	589450415090.246	589450415090.2465	327470227278.8426
377.0	632208537792.0408	632208537792.0413	380698498997.3947
378.0	0.0	0.0	0.0
379.0	0.0	0.0	0.0
380.0	0.0	0.0	0.0
381.0	0.0	0.0	0.0
382.0	0.0	0.0	0.0
383.0	0.0	0.0	0.0
384.0	0.0	0.0	0.0
385.0	0.0	0.0	0.0
386.0	0.0	0.0	0.0
387.0	0.0	0.0	0.0
388.0	0.0	0.0	0.0
389.0	0.0	0.0	0.0
390.0	0.0	0.0	0.0
391.0	0.0	0.0	0.0
392.0	0.0	0.0	0.0
393.0	0.0	0.0	0.0
394.0	0.0	0.0	0.0
395.0	0.0	0.0	0.0
396.0	0.0	0.0	0.0
397.0	0.0	0.0	0.0
398.0	0.0	0.0	0.0
399.0	0.0	0.0	0.0
400.0	0.0	0.0	0.0
401.0	0.0	0.0	0.0
402.0	0.0	0.0	0.0
403.0	0.0	0.0	0.0
404.0	0.0	0.0	0.0
405.0	0.0	0.0	0.0
406.0	0.0	0.0	0.0
407.0	-1041617764840.6832	-1041617764840.6841	-1060994444431.7172
408.0	-1107949540731.2126	-1107949540731.2134	-1132772977947.2974
409.0	-1144160525872.498	-1144160525872.4988	-1155438335079.5442
410.0	-1181582351571.3057	-1181582351571.3066	-1191952018747.6704
411.0	-1232409032254.6523	-1232409032254.6536	-1234150805797.278
412.0	-1257640802365.997	-1257640802365.9983	-1258145843263.5405
413.0	-1279465816075.8203	-1279465816075.8213	-1276622082158.215
414.0	-1316635391627.8774	-1316635391627.878	-1306918619282.2593
415.0	-1319415020552.6223	-1319415020552.6235	-1314972252914.0522
416.0	-1369680214508.4429	-1369680214508.4438	-1361071060077.946
417.0	-1383008670374.608	-1383008670374.6091	-1366671528668.8066
418.0	-1392204027544.158	-1392204027544.159	-1390355280377.758
419.0	-1441503544084.7048	-1441503544084.7063	-1418187516140.2695
420.0	-1479144245394.7905	-1479144245394.7915	-1454576541752.4885
421.0	-1479280891883.2925	-1479280891883.2932	-1461585858944.795
422.0	-1474992971521.9563	-1474992971521.957	-1457622884436.0474
423.0	-1501326293227.2498	-1501326293227.2507	-1491956528555.1038
424.0	-1499286714053.1165	-1499286714053.1177	-1495565751808.6843
425.0	-1508328482431.0405	-1508328482431.0417	-1503928625525.3037
426.0	-1531461791919.624	-1531461791919.6252	-1534233799003.3652
427.0	-1583514064113.8071	-1583514064113.8086	-1586517768455.2917
428.0	-1557931210219.7693	-1557931210219.7705	-1564289972162.7153
429.0	-1547577636846.8777	-1547577636846.879	-1558019784163.4463
430.0	-1585490724947.927	-1585490724947.9285	-1592861624447.81
431.0	-1570100007748.585	-1570100007748.586	-1584562707023.7405
432.0	-1547722739573.2805	-1547722739573.282	-1563955774454.6692
433.0	-1569872997113.6462	-1569872997113.6477	-1592253149619.6555
434.0	-1569586472518.2026	-1569586472518.2039	-1595410098222.6897
435.0	-1558327856818.7637	-1558327856818.765	-1598261092435.5847
436.0	-1538610282774.213	-1538610282774.214	-1582089934230.8752
437.0	-1549370973979.0723	-1549370973979.0732	-1587438821623.2603
438.0	-1539754337852.938	-1539754337852.939	-1588570924612.8591
439.0	-1532264802151.4753	-1532264802151.476	-1577275951225.0493
440.0	-1531550743056.389	-1531550743056.39	-1584115970852.8694
441.0	-1524574004934.167	-1524574004934.1677	-1578049890230.7473
442.0	-1499073517248.2444	-1499073517248.2454	-1556632955621.0142
443.0	-1484462381846.4368	-1484462381846.438	-1542222786743.2896
444.0	-1498361758604.293	-1498361758604.2947	-1555365636147.5115
445.0	-1470096700901.9429	-1470096700901.944	-1534328629194.474
446.0	-1460377542651.1794	-1460377542651.1807	-1528680776559.7407
447.0	-1446121704752.265	-1446121704752.2656	-1514244862347.7458
448.0	-1439418589885.811	-1439418589885.812	-1511335028759.2156
449.0	-1403422860490.3877	-1403422860490.3884	-1475763126608.397
450.0	-1411197941068.4138	-1411197941068.415	-1485139809636.5017
451.0	-1376915271524.0427	-1376915271524.0435	-1450898693319.8179
452.0	-1348948340804.5889	-1348948340804.5894	-1428884682668.278
453.0	-1300445908274.8662	-1300445908274.8672	-1385106139702.32
454.0	-1315236909285.6477	-1315236909285.6487	-1398872104719.9128
455.0	-1269011505705.4197	-1269011505705.4204	-1357190861453.0708
456.0	-1252652289261.13	-1252652289261.1304	-1345109494916.1865
457.0	-1204650435650.4016	-1204650435650.4019	-1295325778890.1287
458.0	-1208589987418.5525	-1208589987418.5537	-1299615151101.5723
459.0	-1174842547347.9082	-1174842547347.909	-1264561961909.277
460.0	-1168386475510.18	-1168386475510.1807	-1251224477834.3667
461.0	-1122001570097.6267	-1122001570097.6277	-1208928333867.7087
462.0	-1126705523279.5447	-1126705523279.5454	-1209607469824.196
463.0	-1075357645171.7047	-1075357645171.7054	-1161617915429.9915
464.0	-1074426874782.6995	-1074426874782.7003	-1159058802412.0178
465.0	-1026971917794.6876	-1026971917794.6885	-1106314320600.2632
466.0	-1016566952935.7048	-1016566952935.7056	-1097498057676.2144
467.0	-1001100906404.6692	-1001100906404.6699	-1072991983315.6986
468.0	-975824211505.4762	-975824211505.4767	-1050988370114.248
469.0	-927267556975.8267	-927267556975.827	-1002487148083.5441
470.0	-930636343050.8324	-930636343050.833	-994592786992.9633
471.0	-881185667314.2661	-881185667314.2668	-940951301851.2004
472.0	-854910707323.7217	-854910707323.7222	-909599553336.1713
473.0	-820896996178.9032	-820896996178.9038	-875335907504.5793
474.0	-800442373583.4062	-800442373583.4071	-854757024501.382
475.0	-763287491449.6637	-763287491449.6644	-817941613631.3512
476.0	-744096573690.3502	-744096573690.3507	-795947320837.1239
477.0	-714773496737.7928	-714773496737.7933	-763561642385.6934
478.0	-679408300795.6061	-679408300795.6067	-723078110345.2819
479.0	-642774648178.6642	-642774648178.6644	-679956023149.0247
480.0	-621501258760.7494	-621501258760.7499	-655818926139.4868
481.0	-586660590606.4384	-586660590606.439	-618773142558.6136
482.0	-554855303632.2275	-554855303632.2279	-591519575773.8992
483.0	-528916566413.7198	-528916566413.72015	-559293998566.0934
484.0	-507028349804.8345	-507028349804.83484	-535064598874.2306
485.0	-473490498938.4148	-473490498938.41516	-503512410903.09265
486.0	-460765677478.8508	-460765677478.8512	-482657139534.4535
487.0	-406435000167.9339	-406435000167.93427	-438329793217.1417
488.0	-376103155287.595	-376103155287.59515	-408325991839.8008
489.0	-357115390465.25024	-357115390465.2505	-382803529063.82336
490.0	-327053222636.4303	-327053222636.43054	-355203424127.72156
491.0	-299453045843.0748	-299453045843.075	-325150430859.1203
492.0	-279646079591.906	-279646079591.9062	-304590077218.3283
493.0	-263925462299.3011	-263925462299.30124	-288596846797.0496
