wavelength	ocp	red	diff
330.43	1.0683	1.9061	0.8378
331.03	1.0631	1.9282	0.8651
331.62	1.0588	1.9505	0.8917
332.21	1.055	1.972	0.917
332.81	1.0525	1.9933	0.9408
333.4	1.0519	2.0166	0.9647
334	1.0525	2.0392	0.9867
334.59	1.0532	2.0606	1.0074
335.18	1.0544	2.0808	1.0264
335.78	1.0556	2.0996	1.044
336.37	1.0576	2.1192	1.0616
336.97	1.0606	2.1381	1.0775
337.56	1.0638	2.1567	1.0929
338.15	1.067	2.1747	1.1077
338.75	1.0702	2.1905	1.1203
339.34	1.0735	2.2031	1.1296
339.93	1.0767	2.2141	1.1374
340.53	1.0799	2.2249	1.145
341.12	1.0833	2.2319	1.1486
341.72	1.0874	2.2385	1.1511
342.31	1.0908	2.2441	1.1533
342.9	1.0942	2.2484	1.1542
343.5	1.098	2.2476	1.1496
344.09	1.1024	2.2445	1.1421
344.68	1.1076	2.2415	1.1339
345.28	1.1128	2.2384	1.1256
345.87	1.1176	2.2321	1.1145
346.46	1.1216	2.2219	1.1003
347.06	1.1255	2.2111	1.0856
347.65	1.1289	2.1994	1.0705
348.24	1.1327	2.1871	1.0544
348.84	1.1355	2.1705	1.035
349.43	1.1381	2.1536	1.0155
350.02	1.1405	2.1347	0.9942
350.62	1.1429	2.1145	0.9716
351.21	1.1453	2.0929	0.9476
351.8	1.1476	2.0715	0.9239
352.39	1.15	2.0506	0.9006
352.99	1.153	2.0279	0.8749
353.58	1.1559	2.0042	0.8483
354.17	1.1574	1.9801	0.8227
354.77	1.1591	1.9561	0.797
355.36	1.1607	1.9297	0.769
355.95	1.162	1.9052	0.7432
356.54	1.1622	1.8801	0.7179
357.14	1.162	1.8541	0.6921
357.73	1.1617	1.8266	0.6649
358.32	1.1611	1.798	0.6369
358.92	1.1597	1.7723	0.6126
359.51	1.1584	1.7442	0.5858
360.1	1.1571	1.7164	0.5593
360.69	1.1548	1.6877	0.5329
361.29	1.1537	1.6608	0.5071
361.88	1.1526	1.6329	0.4803
362.47	1.151	1.6063	0.4553
363.06	1.149	1.5784	0.4294
363.66	1.146	1.5528	0.4068
364.25	1.1425	1.5267	0.3842
364.84	1.1389	1.5001	0.3612
365.43	1.1325	1.4735	0.341
366.02	1.1255	1.4475	0.322
366.62	1.1185	1.4218	0.3033
367.21	1.1084	1.3947	0.2863
367.8	1.0973	1.3694	0.2721
368.39	1.0848	1.3441	0.2593
368.99	1.0718	1.3206	0.2488
369.58	1.0571	1.298	0.2409
370.17	1.0424	1.2756	0.2332
370.76	1.0254	1.2533	0.2279
371.35	1.0078	1.2304	0.2226
371.95	0.9893	1.2101	0.2208
372.54	0.97	1.1892	0.2192
373.13	0.9513	1.1693	0.218
373.72	0.9314	1.1493	0.2179
374.31	0.9106	1.1305	0.2199
374.9	0.8887	1.1111	0.2224
375.5	0.867	1.094	0.227
376.09	0.8461	1.0772	0.2311
376.68	0.8256	1.0609	0.2353
377.27	0.8047	1.0442	0.2395
377.86	0.785	1.0292	0.2442
378.45	0.7656	1.0143	0.2487
379.05	0.7465	0.9998	0.2533
379.64	0.73	0.9872	0.2572
380.23	0.7148	0.9751	0.2603
380.82	0.7006	0.9633	0.2627
381.41	0.6861	0.9513	0.2652
382	0.6733	0.9385	0.2652
382.59	0.6606	0.9271	0.2665
383.19	0.6504	0.9171	0.2667
383.78	0.6417	0.9081	0.2664
384.37	0.6339	0.8995	0.2656
384.96	0.6273	0.8919	0.2646
385.55	0.6207	0.8848	0.2641
386.14	0.615	0.8783	0.2633
386.73	0.6101	0.8717	0.2616
387.32	0.6071	0.8661	0.259
387.91	0.6046	0.8606	0.256
388.51	0.6022	0.8552	0.253
389.1	0.5998	0.8501	0.2503
389.69	0.5982	0.8455	0.2473
390.28	0.5974	0.841	0.2436
390.87	0.5973	0.837	0.2397
391.46	0.5979	0.8332	0.2353
392.05	0.5987	0.8294	0.2307
392.64	0.6	0.8258	0.2258
393.23	0.6015	0.8228	0.2213
393.82	0.6038	0.8205	0.2167
394.41	0.6061	0.8189	0.2128
395	0.6085	0.8168	0.2083
395.6	0.6106	0.814	0.2034
396.19	0.6128	0.8107	0.1979
396.78	0.6151	0.8075	0.1924
397.37	0.6172	0.8041	0.1869
397.96	0.6203	0.8009	0.1806
398.55	0.623	0.7975	0.1745
399.14	0.6259	0.7946	0.1687
399.73	0.629	0.7919	0.1629
400.32	0.6332	0.79	0.1568
400.91	0.6385	0.7891	0.1506
401.5	0.6445	0.7889	0.1444
402.09	0.6507	0.789	0.1383
402.68	0.6571	0.7892	0.1321
403.27	0.664	0.7902	0.1262
403.86	0.6705	0.7912	0.1207
404.45	0.6769	0.7922	0.1153
405.04	0.6833	0.7932	0.1099
405.63	0.6897	0.7942	0.1045
406.22	0.6976	0.7962	0.0986
406.81	0.7055	0.7983	0.0928
407.4	0.7145	0.802	0.0875
407.99	0.7242	0.8069	0.0827
408.58	0.7342	0.8128	0.0786
409.17	0.7441	0.8187	0.0746
409.76	0.7543	0.825	0.0707
410.35	0.764	0.8317	0.0677
410.94	0.7739	0.8388	0.0649
411.53	0.7843	0.8469	0.0626
412.12	0.7951	0.8555	0.0604
412.71	0.8047	0.8634	0.0587
413.3	0.8126	0.8701	0.0575
413.89	0.8198	0.8764	0.0566
414.48	0.8277	0.8838	0.0561
415.07	0.8355	0.8917	0.0562
415.66	0.8428	0.8997	0.0569
416.25	0.8507	0.9084	0.0577
416.83	0.8586	0.9176	0.059
417.42	0.8664	0.9268	0.0604
418.01	0.8742	0.9365	0.0623
418.6	0.8807	0.9459	0.0652
419.19	0.8875	0.9559	0.0684
419.78	0.8935	0.9653	0.0718
420.37	0.8988	0.9743	0.0755
420.96	0.9035	0.983	0.0795
421.55	0.9087	0.9921	0.0834
422.14	0.9135	1.0009	0.0874
422.73	0.9184	1.01	0.0916
423.32	0.9231	1.0189	0.0958
423.9	0.9271	1.0268	0.0997
424.49	0.93	1.034	0.104
425.08	0.933	1.0416	0.1086
425.67	0.9367	1.0496	0.1129
426.26	0.9406	1.0579	0.1173
